Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Umhlanga Campus,Computer Science,I code primarily as a hobby,Research & Development role,Some college/university study without earning a degree,HTML/CSS;JavaScript;Kotlin;PHP,H2;MariaDB;MySQL,Unknown,Unknown,Other,Unknown,GitHub Copilot;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js,Oil & Gas,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am learning to code,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C++;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB,Unknown,Flask,Other,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot,"Student, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;Kotlin;SQL;TypeScript,Firebase Realtime Database;Microsoft SQL Server;SQLite,Unknown,Node.js;React;Spring Boot,Healthcare,ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Java;Julia;Python;Zig,Unknown,Unknown,Unknown,Oil & Gas,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Not employed, but looking for work;Student, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;TypeScript,MongoDB,Amazon Web Services (AWS);Google Cloud,Angular;Node.js,Retail and Consumer Services,ChatGPT,Adrenaline;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis,Digital Ocean,FastAPI,Oil & Gas,Unknown,Adrenaline;Synk Code;Whispr AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am learning to code,Unknown,Some college/university study without earning a degree,HTML/CSS;Java;JavaScript;Lua;Python,SQLite,Vercel,jQuery;Node.js,Oil & Gas,Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Student, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Scala;SQL,BigQuery;MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python,PostgreSQL,Amazon Web Services (AWS),Django;Express;jQuery;Node.js;React;WordPress,Advertising Services,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;TypeScript,MySQL,Amazon Web Services (AWS),Angular;Next.js;Node.js,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;C++;HTML/CSS;JavaScript;MATLAB;R,Microsoft SQL Server,Unknown,ASP.NET,Advertising Services,ChatGPT,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku,Express;NestJS;Node.js,Legal Services,Unknown,AWS CodeWhisperer;Tabnine,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;Python;Ruby;SQL,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku,jQuery;Ruby on Rails;Vue.js,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL,Unknown,jQuery,Insurance,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I code primarily as a hobby,Unknown,Something else,Java;JavaScript;Kotlin;Lua;PHP;Python,SQLite,Digital Ocean,Django;Flask,"Manufacturing, Transportation, or Supply Chain",ChatGPT;WolframAlpha,Mintlify;Synk Code,I prefer not to say
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;Java;JavaScript;SQL,H2;MariaDB,Unknown,Node.js;Spring Boot,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;Google Cloud;Managed Hosting,Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress,Advertising Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
Midrand Campus,Data Science,I am a developer by profession,Database administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Groovy;HTML/CSS;Java;JavaScript;SQL,Unknown,Amazon Web Services (AWS),Angular;jQuery;WordPress,Healthcare,ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, embedded applications or devices",Some college/university study without earning a degree,C;C#;Rust,Unknown,Unknown,Unknown,Higher Education,Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware,Angular;jQuery;Node.js;React;WordPress,Other,ChatGPT,AWS CodeWhisperer;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,Delphi;SQL,Firebird;Microsoft SQL Server;SQLite,Microsoft Azure,Unknown,Insurance,Unknown,AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Microsoft SQL Server,Microsoft Azure,ASP.NET CORE;Blazor,Advertising Services,Unknown,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;TypeScript,Firebase Realtime Database;MongoDB,Unknown,Angular;AngularJS;Node.js;Vue.js,Oil & Gas,Bing AI;ChatGPT;Google Bard AI;WolframAlpha;You.com,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart;HTML/CSS;Java;TypeScript,Dynamodb;PostgreSQL;Supabase,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Vercel,React;Remix,Legal Services,ChatGPT,AWS CodeWhisperer;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MongoDB;MySQL,Google Cloud;Heroku;Microsoft Azure;Netlify;VMware,ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress,Insurance,ChatGPT,GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
Tyger Valley Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Unknown,Some college/university study without earning a degree,APL;Java;JavaScript;Python;Scala;SQL,Microsoft SQL Server,Firebase;Google Cloud,Flask;Node.js;React;Vue.js,Financial Services,Bing AI;ChatGPT;Google Bard AI;WolframAlpha,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Student, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Unknown,ASP.NET CORE;jQuery;Node.js;Vue.js,Higher Education,ChatGPT,Codeium;Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,System administrator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;HTML/CSS;JavaScript;PowerShell;Python;Rust,BigQuery;Cloud Firestore;Cosmos DB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Django;FastAPI;Flask;jQuery,Higher Education,ChatGPT,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Firebase Realtime Database;H2;IBM DB2;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (OCI),Express;Node.js;React;Spring Boot,Oil & Gas,Unknown,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;PowerShell;Visual Basic (.Net),MariaDB;MongoDB;MySQL,Netlify;Vercel,ASP.NET CORE;NestJS;Next.js;Node.js;React,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,"I used to be a developer by profession, but no longer am","Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Lua;Python;Rust;Zig,Unknown,Unknown,Unknown,Healthcare,Unknown,Tabnine,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Computer Science,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis,Digital Ocean;Microsoft Azure,Angular;AngularJS;Spring Boot;Vue.js;WordPress,Insurance,Bing AI;ChatGPT,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I code primarily as a hobby,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Python,MySQL,Amazon Web Services (AWS),Node.js;WordPress,Retail and Consumer Services,ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,I am a developer by profession,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Haskell;Java;Kotlin;Python;SQL,MySQL;Oracle;PostgreSQL;SQLite,Firebase,Unknown,Advertising Services,Unknown,Codeium;GitHub Copilot;Synk Code,"Student, full-time"
Umhlanga Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,BigQuery;Snowflake,Unknown,Unknown,Wholesale,ChatGPT;Google Bard AI,Adrenaline;GitHub Copilot,"Employed, full-time"
Midrand Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;Go;Java;Python,MariaDB;PostgreSQL;SQLite,VMware,ASP.NET CORE;WordPress,Wholesale,WolframAlpha,Codeium;Replit Ghostwriter,"Employed, part-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,C#;HTML/CSS;Java;JavaScript;TypeScript,Microsoft SQL Server,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Blazor;Spring Boot;Vue.js,Insurance,Unknown,AWS CodeWhisperer;Tabnine,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, QA or test",Primary/elementary school,Bash/Shell (all shells);C;C++;Delphi;Go;Groovy;HTML/CSS;Java;JavaScript;Lisp;Perl;PHP;PowerShell;Python;Ruby;SQL,InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Colocation;Hetzner,AngularJS;Flask;React;WordPress,Retail and Consumer Services,Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;HTML/CSS;Java;JavaScript;PHP;Solidity;TypeScript,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Heroku;Microsoft Azure;Netlify;Vercel;Vultr,ASP.NET CORE;Express;Next.js;Node.js;React,Higher Education,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end",Something else,Java,MySQL;Solr,Amazon Web Services (AWS),React;Spring Boot,Wholesale,Unknown,Adrenaline;Codeium;GitHub Copilot,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel,Express;Node.js,Other,ChatGPT,Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,MySQL,Microsoft Azure,Express;Node.js;React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, part-time"
Pretoria Campus,IT,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript,InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,ASP.NET CORE;Blazor;NestJS;Node.js;React,Healthcare,Bing AI;ChatGPT;Phind,AWS CodeWhisperer;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",C#;JavaScript;SQL;Visual Basic (.Net),IBM DB2;Microsoft SQL Server,Unknown,ASP.NET CORE,Oil & Gas,Unknown,Mintlify,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;VBA,Microsoft SQL Server;SQLite,Unknown,Node.js;React,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Mintlify,"Employed, full-time"
Pretoria Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Project manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,Microsoft SQL Server,Digital Ocean;Microsoft Azure,Node.js,Financial Services,Unknown,Mintlify,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Dart;Java;SQL,Microsoft SQL Server;MongoDB;MySQL;SQLite,Firebase;Google Cloud;VMware,Unknown,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Objective-C,SQLite,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",MATLAB;Swift,PostgreSQL,Digital Ocean;Google Cloud;Heroku;Microsoft Azure;VMware,Unknown,Healthcare,WolframAlpha,Rubber Duck.AI;Synk Code,"Employed, full-time;Student, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Express;Node.js;Nuxt.js;React;Vue.js,Insurance,Unknown,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;Python,MongoDB;Neo4J,Unknown,FastAPI,Higher Education,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Student, full-time"
